Entity,Code,Month,Year,Temperature,emissions_total
Colombia,COL,1,2023,23.788654,105238664.0
Chile,CHL,1,2023,13.704947,77287704.0
Costa Rica,CRI,1,2023,22.090235,8279033.5
Dominican Republic,DOM,1,2023,22.396652,32019646.0
Panama,PAN,1,2023,24.33982,14018338.0
Paraguay,PRY,1,2023,28.345264,8139286.0
Peru,PER,1,2023,19.26589,55863636.0
Cuba,CUB,1,2023,23.662546,23097436.0
Bolivia,BOL,1,2023,21.962105,23359406.0
Belize,BLZ,1,2023,24.141237,667898.0
Trinidad and Tobago,TTO,1,2023,25.105356,34317936.0
Suriname,SUR,1,2023,24.425303,2647446.0
Brazil,BRA,1,2023,24.774004,486470080.0
Canada,CAN,1,2023,-17.393269,549299000.0
Ecuador,ECU,1,2023,21.146172,43172870.0
Haiti,HTI,1,2023,23.182856,3522026.0
Guyana,GUY,1,2023,24.049036,3545070.0
Honduras,HND,1,2023,22.15183,11042214.0
Guatemala,GTM,1,2023,21.58195,20382320.0
Jamaica,JAM,1,2023,24.721252,7648698.0
Nicaragua,NIC,1,2023,24.170605,5588379.0
El Salvador,SLV,1,2023,25.986494,8230260.0
Mexico,MEX,1,2023,16.07935,482623460.0
Venezuela,VEN,1,2023,24.777771,99568900.0
Antigua and Barbuda,ATG,1,2023,24.977936,644826.0
Argentina,ARG,1,2023,22.81284,195805970.0
Bahamas,BHS,1,2023,23.880102,2505352.0
Uruguay,URY,1,2023,25.589846,7865945.0
United States,USA,1,2023,-0.5443969,4911391000.0
Chile,CHL,2,2023,13.571747,77287704.0
United States,USA,2,2023,-0.4384129,4911391000.0
Colombia,COL,2,2023,24.632982,105238664.0
Guyana,GUY,2,2023,24.088154,3545070.0
Canada,CAN,2,2023,-21.792387,549299000.0
Guatemala,GTM,2,2023,22.104668,20382320.0
Mexico,MEX,2,2023,16.840567,482623460.0
Dominican Republic,DOM,2,2023,22.847315,32019646.0
Antigua and Barbuda,ATG,2,2023,24.518982,644826.0
Panama,PAN,2,2023,24.868406,14018338.0
Paraguay,PRY,2,2023,26.721048,8139286.0
El Salvador,SLV,2,2023,26.96071,8230260.0
Nicaragua,NIC,2,2023,24.664062,5588379.0
Ecuador,ECU,2,2023,21.53995,43172870.0
Peru,PER,2,2023,19.505014,55863636.0
Costa Rica,CRI,2,2023,22.513838,8279033.5
Haiti,HTI,2,2023,23.932674,3522026.0
Venezuela,VEN,2,2023,25.30392,99568900.0
Uruguay,URY,2,2023,23.970743,7865945.0
Cuba,CUB,2,2023,24.51438,23097436.0
Argentina,ARG,2,2023,21.23649,195805970.0
Brazil,BRA,2,2023,25.146759,486470080.0
Belize,BLZ,2,2023,24.673552,667898.0
Bahamas,BHS,2,2023,24.258198,2505352.0
Trinidad and Tobago,TTO,2,2023,25.171425,34317936.0
Jamaica,JAM,2,2023,24.915077,7648698.0
Suriname,SUR,2,2023,24.423626,2647446.0
Bolivia,BOL,2,2023,21.234169,23359406.0
Honduras,HND,2,2023,22.996798,11042214.0
Argentina,ARG,3,2023,20.506323,195805970.0
Cuba,CUB,3,2023,24.908083,23097436.0
Costa Rica,CRI,3,2023,22.901093,8279033.5
El Salvador,SLV,3,2023,27.24674,8230260.0
Antigua and Barbuda,ATG,3,2023,24.87973,644826.0
Panama,PAN,3,2023,25.050982,14018338.0
Jamaica,JAM,3,2023,24.859142,7648698.0
Trinidad and Tobago,TTO,3,2023,25.79006,34317936.0
Dominican Republic,DOM,3,2023,23.589666,32019646.0
Bahamas,BHS,3,2023,24.325205,2505352.0
Belize,BLZ,3,2023,26.158194,667898.0
Nicaragua,NIC,3,2023,25.484814,5588379.0
Venezuela,VEN,3,2023,26.158781,99568900.0
Peru,PER,3,2023,19.54347,55863636.0
Uruguay,URY,3,2023,24.504879,7865945.0
Ecuador,ECU,3,2023,21.455452,43172870.0
Paraguay,PRY,3,2023,27.202377,8139286.0
Guatemala,GTM,3,2023,24.132856,20382320.0
Haiti,HTI,3,2023,24.448631,3522026.0
Guyana,GUY,3,2023,24.925549,3545070.0
Honduras,HND,3,2023,24.385633,11042214.0
Canada,CAN,3,2023,-14.551365,549299000.0
Brazil,BRA,3,2023,25.13611,486470080.0
United States,USA,3,2023,2.3750653,4911391000.0
Colombia,COL,3,2023,24.489712,105238664.0
Chile,CHL,3,2023,12.174436,77287704.0
Mexico,MEX,3,2023,19.815876,482623460.0
Bolivia,BOL,3,2023,21.740875,23359406.0
Suriname,SUR,3,2023,25.48273,2647446.0
Honduras,HND,4,2023,25.602886,11042214.0
Haiti,HTI,4,2023,24.961063,3522026.0
Mexico,MEX,4,2023,21.694555,482623460.0
Nicaragua,NIC,4,2023,26.665733,5588379.0
Guyana,GUY,4,2023,25.524704,3545070.0
Venezuela,VEN,4,2023,26.29628,99568900.0
